finding_id,case_id,package_name,vulnerability_id,proposed_score,proposed_priority,confidence,score_explanation,evidence_fields_used
cf76d8494389d03f8dfd,case_021,express,1111636,100.0,critical,medium,"scanner_native_priority=61.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; exposed_service=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;exposed_service;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
b7c09d964676cb51c0a5,case_007,lodash,1115806,100.0,critical,medium,"scanner_native_priority=81.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
b5e6417b8a015547516e,case_032,lodash,1115806,100.0,critical,medium,"scanner_native_priority=81.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
b3e846b82b716c912d33,case_034,lodash,1115810,100.0,critical,medium,"scanner_native_priority=65.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
b070927b8fa0de27d416,case_038,lodash,1112455,100.0,critical,medium,"scanner_native_priority=65.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
ac2efe8bd3ece2b0aeb8,case_001,lodash,1115806,100.0,critical,medium,"scanner_native_priority=81.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
a763b5a82c8d61a09f59,case_007,lodash,1115810,100.0,critical,medium,"scanner_native_priority=65.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
a6c761faa098a81524e0,case_001,lodash,1106913,100.0,critical,medium,"scanner_native_priority=72.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
a4782f9de21203d6e48b,case_034,lodash,1115806,100.0,critical,medium,"scanner_native_priority=81.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
99cad4f9a487d2e6fbb3,case_032,lodash,1112455,100.0,critical,medium,"scanner_native_priority=65.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
9542c94a16b82f805c24,case_038,lodash,1115806,100.0,critical,medium,"scanner_native_priority=81.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
872a65eab6ecf5a97c8d,case_038,lodash,1115810,100.0,critical,medium,"scanner_native_priority=65.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
859c340549f1d2aacd07,case_001,lodash,1112455,100.0,critical,medium,"scanner_native_priority=65.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
71b754482f64bad837bb,case_019,express,1111636,100.0,critical,medium,"scanner_native_priority=61.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; exposed_service=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;exposed_service;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
6885bdf45930183243ab,case_001,lodash,1115810,100.0,critical,medium,"scanner_native_priority=65.0; reachable=+20.0; runtime_dependency=+10.0; direct_dependency=+8.0; fixed_version_available=+5.0; missing_evidence(scanner_confidence)=-4.0; prioritization score only, not an exploitability claim",cvss_score;direct_dependency;fixed_version;fixed_version_available;package_reachable;reachability_status;runtime_dependency;scanner_confidence;severity
